G;+;Дата;Время;Документ;Номер;Комментарий;АвтоматическийВвод;УникальныйИдентификатор;флВ;УникальныйИдентификаторА2000;ОтборВЖурнале;ИД_Ефа;Филиал документа;Филиал и тип журнала документов;Тип журнала документов;Поступление;Отгрузка;Контрагент;Основание;Номер входящего документа;;
;+;01.10.13;12:00:00;Поступление товаров;00000102886;Номер документа в Е-Фарма 13004985;1;;;;;5DCB26D4-7539-497E-A3A8-9D8750462188;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;11624,14;;Роста;Договор поставки №76 от 02.09.2010 г.;13004985;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102887;Номер документа в Е-Фарма 13006136;1;;;;;F1BFC578-5408-4350-B4D7-0D7FD37822B8;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;13476,65;;Роста;Договор поставки №76 от 02.09.2010 г.;13006136;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102932;Номер документа в Е-Фарма 13006643;1;;;;;49212852-6BBC-4F83-A211-9974A761AA1C;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;9195,1;;Роста;Договор поставки №76 от 02.09.2010 г.;13006643;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102933;Номер документа в Е-Фарма 13006150;1;;;;;C7427F27-43BB-4AC5-B519-546CD936DC67;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4848,66;;Роста;Договор поставки №76 от 02.09.2010 г.;13006150;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102952;Номер документа в Е-Фарма 13006309;1;;;;;6C517CE9-09F0-4A2C-943D-AA3D535CFBE0;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5829,56;;Роста;Договор поставки №76 от 02.09.2010 г.;13006309;01.10.13;01.10.13
;+;01.10.13;12:00:00;Поступление товаров;00000102962;Номер документа в Е-Фарма 13006627;1;;;;;BBC070E3-AA58-4984-AE25-6A22FCE02D88;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4761,67;;Роста;Договор поставки №76 от 02.09.2010 г.;13006627;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102964;Номер документа в Е-Фарма 13006137;1;;;;;2C05DA2F-0B2F-46EE-AAA2-55F67A7974F3;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;7427,53;;Роста;Договор поставки №76 от 02.09.2010 г.;13006137;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102978;Номер документа в Е-Фарма 13005337;1;;;;;C23F6698-E625-4518-BAD4-A0B21145EDC5;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;8808,31;;Роста;Договор поставки №76 от 02.09.2010 г.;13005337;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102984;Номер документа в Е-Фарма 13005468;1;;;;;FA6E6135-C5E6-44D9-9720-7D0F739B73D1;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4889,67;;Роста;Договор поставки №76 от 02.09.2010 г.;13005468;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102985;Номер документа в Е-Фарма 13006869;1;;;;;8F0871AB-7F2C-487F-9F1B-B4DF037D3700;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;1671,17;;Роста;Договор поставки №76 от 02.09.2010 г.;13006869;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102989;Номер документа в Е-Фарма 13005359;1;;;;;92EEB9EF-32E6-4729-ABD2-AE2B9ADC9993;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;9795,47;;Роста;Договор поставки №76 от 02.09.2010 г.;13005359;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102991;Номер документа в Е-Фарма 13005470;1;;;;;C25453AF-7C3D-4788-A86F-E0AB7E2D02F4;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;10059,3;;Роста;Договор поставки №76 от 02.09.2010 г.;13005470;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102992;Номер документа в Е-Фарма 13006135;1;;;;;75BD5023-83D1-4AE0-8678-DFE293AC9046;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5459,52;;Роста;Договор поставки №76 от 02.09.2010 г.;13006135;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102996;Номер документа в Е-Фарма 13006607;1;;;;;2A611B11-4EB1-457B-9B32-9D029AAEB8D7;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;20143,39;;Роста;Договор поставки №76 от 02.09.2010 г.;13006607;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000103006;Номер документа в Е-Фарма 13006144;1;;;;;B0C52B25-DFF2-43FB-86D3-5E07496A5F03;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;7666,67;;Роста;Договор поставки №76 от 02.09.2010 г.;13006144;30.09.13;30.09.13
;+;03.10.13;12:00:00;Поступление товаров;00000103225;Номер документа в Е-Фарма 13021024;1;;;;;1C9E9F6C-150C-43F7-BCD0-03B6911E4A6B;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2050,06;;Роста;Договор поставки №76 от 02.09.2010 г.;13021024;02.10.13;02.10.13
;+;03.10.13;12:00:00;Поступление товаров;00000103336;Номер документа в Е-Фарма 13006151;1;;;;;F5C22178-C553-4373-936A-37FBA38D83C9;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5459,52;;Роста;Договор поставки №76 от 02.09.2010 г.;13006151;30.09.13;30.09.13
;+;04.10.13;12:00:00;Поступление товаров;00000103549;Номер документа в Е-Фарма 13005460;1;;;;;DC5FF9E1-C5D1-48C3-99C8-1180BCCB4196;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3639,68;;Роста;Договор поставки №76 от 02.09.2010 г.;13005460;30.09.13;30.09.13
;+;08.10.13;12:00:10;Поступление товаров;00000103857;Номер документа в Е-Фарма 13034945;1;;;;;923A9306-9B20-4CB2-B6EA-951FCCBCC5A2;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;1782,17;;Роста;Договор поставки №76 от 02.09.2010 г.;13034945;07.10.13;07.10.13
;+;08.10.13;12:00:10;Поступление товаров;00000103951;Номер документа в Е-Фарма 13038980;1;;;;;86E16D20-10C9-4FE8-83B3-8FC0D7BC7080;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;705,54;;Роста;Договор поставки №76 от 02.09.2010 г.;13038980;07.10.13;07.10.13
;+;08.10.13;12:00:10;Поступление товаров;00000104030;Номер документа в Е-Фарма 13035837;1;;;;;EDA2A6A0-92A9-44CE-8667-9ACDC87151E9;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;1623,93;;Роста;Договор поставки №76 от 02.09.2010 г.;13035837;07.10.13;07.10.13
;+;09.10.13;12:00:10;Поступление товаров;00000104135;Номер документа в Е-Фарма 13044220;1;;;;;E4A62A1C-4260-4DDC-859B-58C256D98896;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2178,46;;Роста;Договор поставки №76 от 02.09.2010 г.;13044220;08.10.13;08.10.13
;+;09.10.13;12:00:10;Поступление товаров;00000104182;Номер документа в Е-Фарма 13043834;1;;;;;94C51697-B678-40F7-9463-8F5E3495256A;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2496,92;;Роста;Договор поставки №76 от 02.09.2010 г.;13043834;08.10.13;08.10.13
;+;10.10.13;12:00:00;Поступление товаров;00000104445;Номер документа в Е-Фарма 13048182;1;;;;;D678B250-B93A-4D54-AB3C-3921CDE8AD86;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;1929,13;;Роста;Договор поставки №76 от 02.09.2010 г.;13048182;09.10.13;09.10.13
;+;11.10.13;12:00:00;Поступление товаров;00000104494;Номер документа в Е-Фарма 13056522;1;;;;;B95ECDBE-7A7B-4BC0-9100-DBFE74AA36A7;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2139,28;;Роста;Договор поставки №76 от 02.09.2010 г.;13056522;10.10.13;10.10.13
;+;11.10.13;12:00:00;Поступление товаров;00000104672;Номер документа в Е-Фарма 13053571;1;;;;;98690FAE-72D3-4A4D-B058-BFDD36DFA5AF;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2102,85;;Роста;Договор поставки №76 от 02.09.2010 г.;13053571;10.10.13;10.10.13
;+;11.10.13;12:00:00;Поступление товаров;00000104673;Номер документа в Е-Фарма 13054645;1;;;;;0AFFDB12-4BE1-40FF-8745-38CE64707C4A;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;420,31;;Роста;Договор поставки №76 от 02.09.2010 г.;13054645;10.10.13;10.10.13
;+;11.10.13;12:00:00;Поступление товаров;00000104675;Номер документа в Е-Фарма 13056318;1;;;;;0B7F86C0-1F6F-4B55-B322-D198C1D9DC2D;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2102,85;;Роста;Договор поставки №76 от 02.09.2010 г.;13056318;10.10.13;10.10.13
;+;11.10.13;12:00:00;Поступление товаров;00000104687;Номер документа в Е-Фарма 13053574;1;;;;;CCB0FC51-CC1C-497D-9738-A357E0A6C28B;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3285,7;;Роста;Договор поставки №76 от 02.09.2010 г.;13053574;10.10.13;10.10.13
;+;14.10.13;12:00:00;Поступление товаров;00000104722;Номер документа в Е-Фарма 13061524;1;;;;;C9E11ABC-F1F7-49E6-A9A0-F3FA765386CB;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2526,14;;Роста;Договор поставки №76 от 02.09.2010 г.;13061524;11.10.13;11.10.13
;+;15.10.13;12:00:00;Поступление товаров;00000104888;Номер документа в Е-Фарма 13065982;1;;;;;D634B489-D9B6-4474-8B58-861073F6CF5A;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4244,55;;Роста;Договор поставки №76 от 02.09.2010 г.;13065982;14.10.13;14.10.13
;+;15.10.13;12:00:00;Поступление товаров;00000104934;Номер документа в Е-Фарма 13067072;1;;;;;8DF1EB66-3EFF-413A-ABC1-8BD5F522DD42;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;364,99;;Роста;Договор поставки №76 от 02.09.2010 г.;13067072;14.10.13;14.10.13
;+;15.10.13;12:00:00;Поступление товаров;00000104935;Номер документа в Е-Фарма 13068509;1;;;;;094FC469-118D-42F9-AFF1-0AB5C0C17B05;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4320,2;;Роста;Договор поставки №76 от 02.09.2010 г.;13068509;14.10.13;14.10.13
;+;15.10.13;12:00:00;Поступление товаров;00000104983;Номер документа в Е-Фарма 13066227;1;;;;;5783D26A-B201-47C3-A9E9-D87AEC4EB9EC;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;130,27;;Роста;Договор поставки №76 от 02.09.2010 г.;13066227;14.10.13;14.10.13
;+;15.10.13;12:00:00;Поступление товаров;00000104987;Номер документа в Е-Фарма 13068945;1;;;;;738B2D96-F4E9-4B54-9F3C-7F8041B1D584;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2407,49;;Роста;Договор поставки №76 от 02.09.2010 г.;13068945;14.10.13;14.10.13
;+;15.10.13;12:00:00;Поступление товаров;00000105013;Номер документа в Е-Фарма 13066309;1;;;;;E5EB3474-ECCA-497D-A1F7-AA8F6873434B;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2707,4;;Роста;Договор поставки №76 от 02.09.2010 г.;13066309;14.10.13;14.10.13
;+;15.10.13;12:00:00;Поступление товаров;00000105049;Номер документа в Е-Фарма 13065688;1;;;;;B17A5ADA-B421-4D22-9739-14BD71560303;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3386,31;;Роста;Договор поставки №76 от 02.09.2010 г.;13065688;14.10.13;14.10.13
;+;15.10.13;10:03:10;Поступление товаров;00000105140;Номер документа в Е-Фарма 13068310;1;;;;;DB3B81FE-AF31-460B-8B59-C194278FF6E5;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;1426,6;;Роста;Договор поставки №76 от 02.09.2010 г.;13068310;14.10.13;14.10.13
;+;16.10.13;10:03:10;Поступление товаров;00000105170;Номер документа в Е-Фарма 13072289;1;;;;;9BBB83A3-1CEF-4F32-B84B-69C6E525A1D4;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;667,96;;Роста;Договор поставки №76 от 02.09.2010 г.;13072289;15.10.13;15.10.13
;+;16.10.13;10:03:10;Поступление товаров;00000105171;Номер документа в Е-Фарма 13072290;1;;;;;4B7F9759-084F-490F-8C77-77949D3D6F26;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;667,96;;Роста;Договор поставки №76 от 02.09.2010 г.;13072290;15.10.13;15.10.13
;+;17.10.13;10:03:10;Поступление товаров;00000105421;Номер документа в Е-Фарма 13078182;1;;;;;F1D50169-CD77-4033-B13D-EA2FCC0F1F50;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3878,38;;Роста;Договор поставки №76 от 02.09.2010 г.;13078182;16.10.13;16.10.13
;+;17.10.13;10:03:10;Поступление товаров;00000105422;Номер документа в Е-Фарма 13078185;1;;;;;293BBAD3-EA78-4C96-A28D-2017A3B10A3F;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3878,38;;Роста;Договор поставки №76 от 02.09.2010 г.;13078185;16.10.13;16.10.13
;+;18.10.13;12:00:00;Поступление товаров;00000105571;Номер документа в Е-Фарма 13086429;1;;;;;BDF5E059-D745-4F44-AC04-D54A31A9C8F2;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;446,62;;Роста;Договор поставки №76 от 02.09.2010 г.;13086429;17.10.13;17.10.13
;+;18.10.13;12:00:00;Поступление товаров;00000105679;Номер документа в Е-Фарма 13085210;1;;;;;1B74C48A-4FFA-40D4-BDF6-3F43D8DA27E8;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2102,11;;Роста;Договор поставки №76 от 02.09.2010 г.;13085210;17.10.13;17.10.13
;+;19.10.13;12:00:10;Поступление товаров;00000105718;Номер документа в Е-Фарма 13078515;1;;;;;90D6DE7A-7E6E-406D-B145-B4C3650ADBD1;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2814,58;;Роста;Договор поставки №76 от 02.09.2010 г.;13078515;16.10.13;16.10.13
;+;19.10.13;12:00:10;Поступление товаров;00000105719;Номер документа в Е-Фарма 13080553;1;;;;;53FB5FF7-AE36-4507-9DA9-1E1260C2D42B;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;548,22;;Роста;Договор поставки №76 от 02.09.2010 г.;13080553;16.10.13;16.10.13
;+;21.10.13;12:00:00;Поступление товаров;00000105789;Номер документа в Е-Фарма 13092269;1;;;;;8BC34371-2C45-444E-8295-7F5CCD567702;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2349,17;;Роста;Договор поставки №76 от 02.09.2010 г.;13092269;18.10.13;18.10.13
;+;21.10.13;12:00:00;Поступление товаров;00000105791;Номер документа в Е-Фарма 13092737;1;;;;;A7CC7E13-4113-4B1C-8638-46027BA128C8;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;1111,35;;Роста;Договор поставки №76 от 02.09.2010 г.;13092737;18.10.13;18.10.13
;+;21.10.13;12:00:00;Поступление товаров;00000105815;Номер документа в Е-Фарма 13092589;1;;;;;EBB18869-B436-42D5-899E-F38AFACD0515;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3236,35;;Роста;Договор поставки №76 от 02.09.2010 г.;13092589;18.10.13;18.10.13
;+;22.10.13;12:00:00;Поступление товаров;00000106065;Номер документа в Е-Фарма 13099503;1;;;;;C1FC3F85-CAC7-491F-BFCC-136A1BEA6D6E;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2344,39;;Роста;Договор поставки №76 от 02.09.2010 г.;13099503;22.10.13;22.10.13
;+;23.10.13;12:00:00;Поступление товаров;00000106196;Номер документа в Е-Фарма 13103707;1;;;;;6E226F5C-1682-4D6E-9450-D81BCC754279;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;399,28;;Роста;Договор поставки №76 от 02.09.2010 г.;13103707;22.10.13;22.10.13
;+;24.10.13;12:00:00;Отгрузка товаров, продукции;00018922;Номер документа в Е-Фарма 78117/ВЗ-00000158;1;;;;;BE2F0D67-FFFC-4856-8C62-48DC6EAF0FDB;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;;2226,66;Роста;Договор поставки №76 от 02.09.2010 г.;;;
;+;24.10.13;12:00:00;Поступление товаров;00000106340;Номер документа в Е-Фарма 13111142;1;;;;;37336E2F-38A5-47DC-A715-4011BDA3D3ED;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;1333,04;;Роста;Договор поставки №76 от 02.09.2010 г.;13111142;23.10.13;23.10.13
;+;25.10.13;12:00:00;Поступление товаров;00000106679;Номер документа в Е-Фарма 13115437;1;;;;;11C14EE7-4D39-4916-8497-6B4B261F78DA;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;925,72;;Роста;Договор поставки №76 от 02.09.2010 г.;13115437;24.10.13;24.10.13
;+;25.10.13;12:00:00;Поступление товаров;00000106718;Номер документа в Е-Фарма 13115680;1;;;;;3D7F661C-C7EA-46FE-841A-6A68BDF56BBC;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2556,62;;Роста;Договор поставки №76 от 02.09.2010 г.;13115680;24.10.13;24.10.13
;+;29.10.13;14:28:56;Поступление товаров;00000106935;Номер документа в Е-Фарма 13130955;1;;;;;3503DBBF-756E-424F-9698-2387A7FE61F3;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2725,91;;Роста;Договор поставки №76 от 02.09.2010 г.;13130955;28.10.13;28.10.13
;+;29.10.13;14:28:56;Поступление товаров;00000106957;Номер документа в Е-Фарма 13129957;1;;;;;C4AD2D4D-E86A-4997-82AF-C888B41E19BE;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2761,97;;Роста;Договор поставки №76 от 02.09.2010 г.;13129957;28.10.13;28.10.13
;+;29.10.13;14:28:56;Поступление товаров;00000106958;Номер документа в Е-Фарма 13130603;1;;;;;524C4DE3-C06B-4EF4-8070-320B8ABE7508;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;599,86;;Роста;Договор поставки №76 от 02.09.2010 г.;13130603;28.10.13;28.10.13
;+;29.10.13;14:28:56;Поступление товаров;00000107024;Номер документа в Е-Фарма 13130693;1;;;;;295F1884-F1C3-43DF-BBF8-5CAD1CD3FCDC;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;53,99;;Роста;Договор поставки №76 от 02.09.2010 г.;13130693;28.10.13;28.10.13
;+;29.10.13;14:28:56;Поступление товаров;00000107025;Номер документа в Е-Фарма 13130694;1;;;;;AAEA9269-BF80-41B4-AE4F-52FE22ACFEEE;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;1168,08;;Роста;Договор поставки №76 от 02.09.2010 г.;13130694;28.10.13;28.10.13
;+;29.10.13;14:28:56;Поступление товаров;00000107026;Номер документа в Е-Фарма 13128416;1;;;;;55B8EBD5-16FD-41CF-A4F5-9FDA381DA3D3;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2137,68;;Роста;Договор поставки №76 от 02.09.2010 г.;13128416;28.10.13;28.10.13
;+;29.10.13;14:28:56;Поступление товаров;00000107028;Номер документа в Е-Фарма 13130083;1;;;;;962C542D-1D13-42BD-A47B-AF95E56E243C;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;261,32;;Роста;Договор поставки №76 от 02.09.2010 г.;13130083;28.10.13;28.10.13
;+;29.10.13;14:28:56;Поступление товаров;00000107029;Номер документа в Е-Фарма 13130751;1;;;;;277F927C-A6EB-44EA-816B-E786098FD381;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;1770;;Роста;Договор поставки №76 от 02.09.2010 г.;13130751;28.10.13;28.10.13
;+;29.10.13;14:28:56;Поступление товаров;00000107049;Номер документа в Е-Фарма 13128055;1;;;;;8709F52A-123A-48BE-ADD0-63F955559462;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2404,59;;Роста;Договор поставки №76 от 02.09.2010 г.;13128055;28.10.13;28.10.13
;+;29.10.13;14:28:56;Поступление товаров;00000107080;Номер документа в Е-Фарма 13130817;1;;;;;F2EF4253-62E2-46F5-B82E-B8F20AF9DF32;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;1690,63;;Роста;Договор поставки №76 от 02.09.2010 г.;13130817;28.10.13;28.10.13
;+;29.10.13;14:28:56;Поступление товаров;00000107108;Номер документа в Е-Фарма 13131156;1;;;;;8AB2C6B8-76EF-43C5-8534-73A91C3C47E5;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;1942,94;;Роста;Договор поставки №76 от 02.09.2010 г.;13131156;28.10.13;28.10.13
;+;30.10.13;12:00:00;Поступление товаров;00000107243;Номер документа в Е-Фарма 13136912;1;;;;;0811FEAB-7886-4B46-9FC6-05E341A69AAB;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2701,39;;Роста;Договор поставки №76 от 02.09.2010 г.;13136912;29.10.13;29.10.13
;+;30.10.13;12:00:00;Поступление товаров;00000107258;Номер документа в Е-Фарма 13135080;1;;;;;315EBFBD-8525-4C0B-B41C-334AB45AD39D;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3888,36;;Роста;Договор поставки №76 от 02.09.2010 г.;13135080;29.10.13;29.10.13
;+;30.10.13;12:00:00;Поступление товаров;00000107323;Номер документа в Е-Фарма 13137629;1;;;;;C838CE51-9F30-407D-8C5D-A82F07C8B74E;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;7277,05;;Роста;Договор поставки №76 от 02.09.2010 г.;13137629;29.10.13;29.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107393;Номер документа в Е-Фарма 13140361;1;;;;;3F31770E-BE21-47E9-B921-EF75CABE5F0A;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;13915,97;;Роста;Договор поставки №76 от 02.09.2010 г.;13140361;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107424;Номер документа в Е-Фарма 13142171;1;;;;;6CBB74E6-9BC5-4BC3-AE6D-A0B422381D6E;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4225,24;;Роста;Договор поставки №76 от 02.09.2010 г.;13142171;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107450;Номер документа в Е-Фарма 13131151;1;;;;;BD78D277-116F-45C1-A557-BC67247721F0;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3643,81;;Роста;Договор поставки №76 от 02.09.2010 г.;13131151;28.10.13;28.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107495;Номер документа в Е-Фарма 13142601;1;;;;;D5633DCB-428E-43FA-945E-567B7777A41E;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;1432,49;;Роста;Договор поставки №76 от 02.09.2010 г.;13142601;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107531;Номер документа в Е-Фарма 13140577;1;;;;;04EFCDFA-617E-43FD-BDF2-BBDA5998FC28;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2184,72;;Роста;Договор поставки №76 от 02.09.2010 г.;13140577;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107562;Номер документа в Е-Фарма 13142249;1;;;;;831BB749-AD2A-4661-B6C7-B82FE2A72A2C;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;1295,12;;Роста;Договор поставки №76 от 02.09.2010 г.;13142249;30.10.13;30.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107573;Номер документа в Е-Фарма 13145810;1;;;;;46E62CE1-07CD-42A4-A49D-9B250DF80CE1;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;21146,95;;Роста;Договор поставки №76 от 02.09.2010 г.;13145810;31.10.13;31.10.13
