

The values that are not in the second file but are in the first file.
;+;07.10.13;12:00:00;Поступление товаров;00000103674;Номер документа в Е-Фарма 360241;1;;;;;60F8ECF1-B159-4EB2-8671-F1FE625ADDD0;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2512,4;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);360241;04.10.13;04.10.13
;+;07.10.13;12:00:00;Поступление товаров;00000103680;Номер документа в Е-Фарма 360051;1;;;;;6499ECA9-8DDB-4373-96C9-E46B14A2D4A1;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;10253,98;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);360051;04.10.13;04.10.13
;+;07.10.13;12:00:00;Поступление товаров;00000103689;Номер документа в Е-Фарма 359071;1;;;;;FEC94F5C-A0D3-47CE-97CC-EB145F7342A6;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;8969,49;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);359071;04.10.13;04.10.13
;+;07.10.13;12:00:00;Поступление товаров;00000103695;Номер документа в Е-Фарма 358899;1;;;;;33970313-5DAC-4C13-B62C-3FED2E1342CA;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;15269,69;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);358899;04.10.13;04.10.13
;+;07.10.13;12:00:00;Поступление товаров;00000103702;Номер документа в Е-Фарма 359041;1;;;;;0D732DC3-E6FF-4BBF-BAFF-84ECAB38D9EB;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3633,51;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);359041;04.10.13;04.10.13
;+;07.10.13;12:00:00;Поступление товаров;00000103705;Номер документа в Е-Фарма 360007;1;;;;;D48BEA62-FA35-4C96-AE6C-12B44AFFD9F8;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2039,86;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);360007;04.10.13;04.10.13
;+;07.10.13;12:00:00;Поступление товаров;00000103706;Номер документа в Е-Фарма 360311;1;;;;;D456DA3A-C29A-4E0C-8000-9B0AECDA4245;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2512,4;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);360311;04.10.13;04.10.13
;+;07.10.13;12:00:00;Поступление товаров;00000103709;Номер документа в Е-Фарма 358758;1;;;;;AD6B6C57-EBB7-4A80-BA31-AC63550378A7;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5505,61;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);358758;04.10.13;04.10.13
;+;07.10.13;12:00:00;Поступление товаров;00000103712;Номер документа в Е-Фарма 359966;1;;;;;4C88B6B1-4700-4E97-84A8-50ADE909E20E;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5335,37;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);359966;04.10.13;04.10.13
;+;07.10.13;12:00:00;Поступление товаров;00000103724;Номер документа в Е-Фарма 358811;1;;;;;A978246D-6A5F-4522-9CD3-F25F7365F943;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2181,41;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);358811;04.10.13;04.10.13
