G;+;Дата;Время;Документ;Номер;Комментарий;АвтоматическийВвод;УникальныйИдентификатор;флВ;УникальныйИдентификаторА2000;ОтборВЖурнале;ИД_Ефа;Филиал документа;Филиал и тип журнала документов;Тип журнала документов;Поступление;Отгрузка;Контрагент;Основание;Номер входящего документа;;
;+;01.10.13;12:00:00;Поступление товаров;00000102865;Номер документа в Е-Фарма 350409;1;;;;;28AECD6B-A82B-4996-A83A-D95F03FF239A;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5889,4;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);350409;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102869;Номер документа в Е-Фарма 351243;1;;;;;03D80681-FB3C-4FB4-812B-352A992566C4;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;17329,53;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351243;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102870;Номер документа в Е-Фарма 351508;1;;;;;B72353E5-6B74-49F5-B9CE-0125A44A6FBF;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;13998,6;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351508;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102884;Номер документа в Е-Фарма 350361;1;;;;;79A2A5D9-55F5-448F-B495-A19882555A16;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;8607,5;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);350361;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102885;Номер документа в Е-Фарма 351296;1;;;;;EB5FBBC0-F3B3-4D7A-8AD3-EE398F0C92E3;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;11975,61;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351296;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102891;Номер документа в Е-Фарма 352198;1;;;;;5387BF58-75C4-4286-8370-1282DC4D3E9D;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;13301,66;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);352198;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102892;Номер документа в Е-Фарма 351616;1;;;;;E2D75D4D-EF88-410C-B15E-27267A8994B2;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;10804,75;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351616;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102893;Номер документа в Е-Фарма 351244;1;;;;;92E14D15-3660-4B66-9838-2C32C6E625BF;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;22990,35;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351244;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102894;Номер документа в Е-Фарма 351212;1;;;;;463B27F7-EC45-42E3-B655-75043F503B25;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;20884,6;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351212;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102901;Номер документа в Е-Фарма 351404;1;;;;;41D1D2AA-5D76-4701-88E8-659D0A69068B;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;15833,4;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351404;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102907;Номер документа в Е-Фарма 351739;1;;;;;07C8EB56-7CBB-4614-A854-15EC0B982F7C;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;18664,8;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351739;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102908;Номер документа в Е-Фарма 352376;1;;;;;166F02DC-3A39-4470-A684-1319A49C6D14;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;8402,72;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);352376;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102917;Номер документа в Е-Фарма 351991;1;;;;;35AE95A0-0789-4955-9538-30E00022A763;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3062,13;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351991;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102945;Номер документа в Е-Фарма 352519;1;;;;;CCC8F26E-0557-4705-B92E-702CA7C30799;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2142,8;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);352519;01.10.13;01.10.13
