G;+;Дата;Время;Документ;Номер;Комментарий;АвтоматическийВвод;УникальныйИдентификатор;флВ;УникальныйИдентификаторА2000;ОтборВЖурнале;ИД_Ефа;Филиал документа;Филиал и тип журнала документов;Тип журнала документов;Поступление;Отгрузка;Контрагент;Основание;Номер входящего документа;;
;+;15.11.13;12:00:00;Поступление товаров;00000109810;Номер документа в Е-Фарма 418778;1;;;;;56DAAAC5-CB70-4CB8-9C02-2A6A124E37EA;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;9071,44;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);418778;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109833;Номер документа в Е-Фарма 418097;1;;;;;036BC210-6152-4E11-9579-05F346C1CA03;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;13588,31;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);418097;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109840;Номер документа в Е-Фарма 419256;1;;;;;43CAF30E-1DC8-42B8-9176-28CD94B51571;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;19894,45;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);419256;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109841;Номер документа в Е-Фарма 419297;1;;;;;C93EA3DC-1938-4E18-B235-EF1410314258;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2104,96;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);419297;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109870;Номер документа в Е-Фарма 418066;1;;;;;AF047959-7572-46EC-93C1-FA54CB72A167;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;7879,53;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);418066;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109877;Номер документа в Е-Фарма 418642;1;;;;;BA6F1628-8BC0-4292-A6F4-B1542DE8133F;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;9100,13;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);418642;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109885;Номер документа в Е-Фарма 418159;1;;;;;76342193-8B95-4B5B-8EDC-3D87C1138A6E;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;10898,29;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);418159;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109886;Номер документа в Е-Фарма 419224;1;;;;;DA64543C-241E-445F-8551-A0BA1D67B0F6;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4607,83;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);419224;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109889;Номер документа в Е-Фарма 418641;1;;;;;B4740E6E-19C9-48CF-976B-73CED5D16416;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;19689,92;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);418641;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109900;Номер документа в Е-Фарма 418713;1;;;;;E9004C06-5C8D-46DE-8E20-D55181A373C2;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2564,21;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);418713;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109941;Номер документа в Е-Фарма 418009;1;;;;;2D714D9A-1F65-4202-97C0-E547F26E81C1;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;11695,51;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);418009;14.11.13;14.11.13
;+;16.11.13;12:00:00;Поступление товаров;00000109952;Номер документа в Е-Фарма 419963;1;;;;;E40B5DC1-8D2C-458D-A105-397C42A8DC8F;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;7518,51;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);419963;15.11.13;15.11.13
;+;16.11.13;12:00:00;Поступление товаров;00000109958;Номер документа в Е-Фарма 418314;1;;;;;EC69F3A2-1670-46D6-87C4-9357029BC985;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;6294,42;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);418314;14.11.13;14.11.13
;+;16.11.13;12:00:00;Поступление товаров;00000109960;Номер документа в Е-Фарма 417921;1;;;;;418A87CC-BC9B-420B-8F7F-A0708925E073;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;8427,69;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);417921;14.11.13;14.11.13
;+;16.11.13;12:00:00;Поступление товаров;00000109962;Номер документа в Е-Фарма 419861;1;;;;;EA905A59-A8AB-4954-974A-220DA8CB9EFD;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;60038;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);419861;15.11.13;15.11.13
;+;16.11.13;12:00:00;Поступление товаров;00000109963;Номер документа в Е-Фарма 416690;1;;;;;AFBF5834-3A87-4B05-8E25-1FD46C4E63FF;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3580,06;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);416690;13.11.13;13.11.13
;+;16.11.13;12:00:00;Поступление товаров;00000109964;Номер документа в Е-Фарма 416300;1;;;;;FF7483F9-08CA-4ACD-8265-6DED7E7AF40A;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;7982,72;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);416300;13.11.13;13.11.13
;+;16.11.13;12:00:00;Поступление товаров;00000109972;Номер документа в Е-Фарма 420032;1;;;;;069E8019-17DF-43CF-ABBF-846A9AB33C82;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;11021,94;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);420032;15.11.13;15.11.13
;+;16.11.13;12:00:00;Поступление товаров;00000109973;Номер документа в Е-Фарма 420594;1;;;;;591A94E0-53B5-4ED8-B9C8-B14D80620FEE;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;10024,06;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);420594;15.11.13;15.11.13
;+;18.11.13;12:00:00;Поступление товаров;00000109977;Номер документа в Е-Фарма 420298;1;;;;;EB101224-2237-48F5-AA2A-B32ED53BF4F7;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;18346,13;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);420298;15.11.13;15.11.13
;+;18.11.13;12:00:00;Поступление товаров;00000109983;Номер документа в Е-Фарма 420796;1;;;;;50A92A9C-52FB-4E8C-AFB6-371F97E3AAE2;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3646,71;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);420796;15.11.13;15.11.13
;+;18.11.13;12:00:00;Поступление товаров;00000109987;Номер документа в Е-Фарма 421602;1;;;;;97F0BD9C-7317-4C6C-8849-3038E885F39F;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5415,94;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);421602;15.11.13;15.11.13
;+;18.11.13;12:00:00;Поступление товаров;00000109991;Номер документа в Е-Фарма 421603;1;;;;;27A8F30D-4C7C-4399-9ECA-D24D56AA016C;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;15866,71;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);421603;15.11.13;15.11.13
;+;18.11.13;12:00:00;Поступление товаров;00000109994;Номер документа в Е-Фарма 420526;1;;;;;A4E7FED1-990D-44A5-90BA-2561CADFBA4E;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3158,98;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);420526;15.11.13;15.11.13
;+;18.11.13;12:00:00;Поступление товаров;00000110000;Номер документа в Е-Фарма 419817;1;;;;;C6A7BCEC-96C1-44C0-BB07-3F336A1D1222;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;6306,3;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);419817;15.11.13;15.11.13
;+;18.11.13;12:00:00;Поступление товаров;00000110001;Номер документа в Е-Фарма 419863;1;;;;;B4C8A532-5049-4B9A-B9F8-20BB388B1EC9;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2058,21;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);419863;15.11.13;15.11.13
;+;18.11.13;12:00:00;Поступление товаров;00000110002;Номер документа в Е-Фарма 419961;1;;;;;F3DE7CCD-68F1-4A42-9C33-00F58B3ABDF6;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;13200,34;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);419961;15.11.13;15.11.13
;+;18.11.13;12:00:00;Поступление товаров;00000110009;Номер документа в Е-Фарма 420297;1;;;;;6C25C0FA-A61D-44C5-A2B0-51279EC85226;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5318,42;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);420297;15.11.13;15.11.13
;+;18.11.13;12:00:00;Поступление товаров;00000110010;Номер документа в Е-Фарма 420045;1;;;;;6F290C04-A19F-4506-B70B-5CD3D67C7AB3;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;6742,3;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);420045;15.11.13;15.11.13
;+;18.11.13;12:00:00;Поступление товаров;00000110013;Номер документа в Е-Фарма 420011;1;;;;;BB3B4FD7-0129-4753-BB61-019A49F985D8;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4751,53;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);420011;15.11.13;15.11.13
;+;18.11.13;12:00:00;Поступление товаров;00000110022;Номер документа в Е-Фарма 420197;1;;;;;FE49B9DB-DA29-421E-8CC1-6DE5957FD0B3;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;9919,81;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);420197;15.11.13;15.11.13
;+;18.11.13;12:00:00;Поступление товаров;00000110033;Номер документа в Е-Фарма 420195;1;;;;;3BF2E7B1-3E32-4EA5-8BFC-E2643E64E652;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5298,29;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);420195;15.11.13;15.11.13
;+;18.11.13;12:00:00;Поступление товаров;00000110035;Номер документа в Е-Фарма 420295;1;;;;;73CDDBAF-B830-446F-9522-EFB8600169F1;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2708,2;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);420295;15.11.13;15.11.13
;+;18.11.13;12:00:00;Поступление товаров;00000110037;Номер документа в Е-Фарма 420405;1;;;;;DC246CC0-4367-4530-8591-81A7B400AB82;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2675,9;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);420405;15.11.13;15.11.13
;+;18.11.13;12:00:00;Поступление товаров;00000110041;Номер документа в Е-Фарма 421207;1;;;;;3A2AAE5A-28CE-414C-A0D5-E24DD382A632;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;10680,29;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);421207;15.11.13;15.11.13
;+;18.11.13;12:00:00;Поступление товаров;00000110049;Номер документа в Е-Фарма 420695;1;;;;;2CA2CCB3-C5EB-471E-88E2-D6A6CA77B1DF;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;28246,53;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);420695;15.11.13;15.11.13
;+;18.11.13;12:00:00;Поступление товаров;00000110053;Номер документа в Е-Фарма 421530;1;;;;;9E78B974-7917-4572-810B-F6A792FAF029;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;6614,41;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);421530;15.11.13;15.11.13
;+;18.11.13;12:00:00;Поступление товаров;00000110075;Номер документа в Е-Фарма 420196;1;;;;;823B69C6-379B-4A42-ADBA-04C2668DD7D4;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4175,23;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);420196;15.11.13;15.11.13
;+;18.11.13;12:00:00;Поступление товаров;00000110078;Номер документа в Е-Фарма 420210;1;;;;;D17EE4BB-6EA5-4BDF-BCC6-7566F0C2EACA;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;9724,4;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);420210;15.11.13;15.11.13
;+;18.11.13;12:00:00;Поступление товаров;00000110079;Номер документа в Е-Фарма 420296;1;;;;;DABFC0B0-F838-4D89-9D40-FA7B989028E5;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;13815,56;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);420296;15.11.13;15.11.13
;+;18.11.13;12:00:00;Поступление товаров;00000110080;Номер документа в Е-Фарма 420212;1;;;;;618E01B9-C077-49C1-BB3F-26FC67236BF8;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2197,8;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);420212;15.11.13;15.11.13
;+;18.11.13;12:00:00;Поступление товаров;00000110110;Номер документа в Е-Фарма 420198;1;;;;;300BFC20-C470-4A97-AA7B-7A666DC4812B;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;8467,02;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);420198;15.11.13;15.11.13
;+;18.11.13;12:00:00;Поступление товаров;00000110114;Номер документа в Е-Фарма 420046;1;;;;;44A58425-E1BD-4221-954A-C898CC22BBA4;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2445,91;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);420046;15.11.13;15.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110115;Номер документа в Е-Фарма 422705;1;;;;;F8A95FDA-AA93-488A-BBA7-C74D6F7D4EC7;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2892,56;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);422705;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110116;Номер документа в Е-Фарма 423794;1;;;;;C1BF78C7-31D8-4740-85EB-7C68B2F5BD9E;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;13809,22;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);423794;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110123;Номер документа в Е-Фарма 421860;1;;;;;33D1EDD8-82AE-4730-A2D5-92A3F88EF330;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;30558;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);421860;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110124;Номер документа в Е-Фарма 422714;1;;;;;34E3D899-8BE6-48C6-8410-17BCC5069E65;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4483,38;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);422714;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110125;Номер документа в Е-Фарма 423460;1;;;;;6EFF83D1-B2FF-4A61-9726-389D7E10C817;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;6502,96;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);423460;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110126;Номер документа в Е-Фарма 423855;1;;;;;48D75091-A67C-448D-8DCD-82186BFA4D0A;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;36928,96;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);423855;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110137;Номер документа в Е-Фарма 423733;1;;;;;1EBF056B-F444-4274-8C53-F26088C5B780;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;6250,52;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);423733;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110138;Номер документа в Е-Фарма 424000;1;;;;;2D8E3333-4D88-4F77-B65D-AFF02141DC72;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;30135,29;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);424000;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110139;Номер документа в Е-Фарма 422841;1;;;;;B81B327C-5C61-4809-9F26-943DF55644B2;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5513,09;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);422841;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110140;Номер документа в Е-Фарма 423096;1;;;;;DF67A278-CF64-43CA-9FE4-EBA5B9427B57;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5304,98;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);423096;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110141;Номер документа в Е-Фарма 423100;1;;;;;07865211-BDAE-4CB2-91C2-D727B3388E1E;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;6538,18;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);423100;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110142;Номер документа в Е-Фарма 423517;1;;;;;AF4F2410-E19B-4529-AB00-5915E2269815;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;62208,69;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);423517;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110153;Номер документа в Е-Фарма 422545;1;;;;;A0380352-9220-40D5-B1C1-2710CC185135;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;8305,66;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);422545;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110155;Номер документа в Е-Фарма 423793;1;;;;;D1FC1A0F-5BB5-4AB4-9F33-75FE1995CE66;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;98181,23;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);423793;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110170;Номер документа в Е-Фарма 422615;1;;;;;03FC2BC8-173B-404B-94AB-1486FC9F294F;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4776,31;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);422615;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110171;Номер документа в Е-Фарма 423591;1;;;;;299B85CF-23BC-4771-82AB-DF2F48804C64;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;27191,05;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);423591;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110193;Номер документа в Е-Фарма 422470;1;;;;;D6EFB0BF-EE5C-452A-9AE3-4EC104F3B2A7;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;6452,6;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);422470;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110194;Номер документа в Е-Фарма 424022;1;;;;;ADD9A6D8-D704-4B89-8DA2-65651C700343;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;76376,79;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);424022;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110195;Номер документа в Е-Фарма 424023;1;;;;;016F5663-5903-4FCA-9E27-161D2BC6C9A1;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4912,06;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);424023;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110200;Номер документа в Е-Фарма 423035;1;;;;;49F32920-D36F-456C-BF20-8B181EF3BA35;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;16761,54;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);423035;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110211;Номер документа в Е-Фарма 421912;1;;;;;FA123CD4-2D44-4F96-ACCC-E85783B03577;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3983,76;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);421912;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110213;Номер документа в Е-Фарма 422484;1;;;;;46221D3B-903C-4362-8985-4B3CE6276A3D;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2692,36;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);422484;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110216;Номер документа в Е-Фарма 423430;1;;;;;E6D935AA-EE07-4381-B67F-5979CFC737AE;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;7312,78;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);423430;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110218;Номер документа в Е-Фарма 423590;1;;;;;DC34186B-551C-4235-9ECE-CF22AF2CE13C;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;43440,78;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);423590;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110221;Номер документа в Е-Фарма 424335;1;;;;;281DF7F4-7D3E-4FF3-8932-6FFDC60DCCF2;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3233,15;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);424335;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110222;Номер документа в Е-Фарма 423176;1;;;;;E7925282-A386-4396-B0AB-2BCEF4E56FA5;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4001,64;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);423176;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110223;Номер документа в Е-Фарма 423621;1;;;;;C63B5769-A672-4F58-9F37-893EDD102670;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;25633,53;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);423621;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110224;Номер документа в Е-Фарма 422073;1;;;;;4A5A0990-F5B6-42C3-97D0-8A6F0F8595DF;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;6087,29;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);422073;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110225;Номер документа в Е-Фарма 424329;1;;;;;11E1B906-D69C-495A-8143-B296E1E5AA1D;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;32813,84;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);424329;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110226;Номер документа в Е-Фарма 423624;1;;;;;B7EA808D-A1AE-457D-8744-2BD7E3C8BF27;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;7967,68;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);423624;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110227;Номер документа в Е-Фарма 421813;1;;;;;8F5A506A-5D36-47F0-8E62-48B453B28B2C;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3506,8;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);421813;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110228;Номер документа в Е-Фарма 422441;1;;;;;F4D1446D-27FE-474F-92A6-95F3198912EF;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3629,45;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);422441;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110229;Номер документа в Е-Фарма 423846;1;;;;;2B5BD46E-AE0D-4AFE-9BF2-513775DE6BCD;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;30233,66;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);423846;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110233;Номер документа в Е-Фарма 423428;1;;;;;F6F970BC-6D16-4CA5-93F5-95518BAF7DBB;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;21712,66;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);423428;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110241;Номер документа в Е-Фарма 422814;1;;;;;96F85D83-2D5D-40A3-BE77-D08F1F001569;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5172,78;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);422814;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110242;Номер документа в Е-Фарма 423589;1;;;;;0124BD71-1368-46AB-9D6C-7674452A5838;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;31883,92;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);423589;18.11.13;18.11.13
;+;19.11.13;12:00:00;Поступление товаров;00000110255;Номер документа в Е-Фарма 422097;1;;;;;4EC82ACF-D4F1-4CD7-AE4F-7D1C24A6B4C6;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2062,24;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);422097;18.11.13;18.11.13
